Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Bitcoin,BTC,01-01-2019 23:59,3850.913765,3707.231303,3746.713387,3843.519967,4324200990,67098634181
Bitcoin,BTC,02-01-2019 23:59,3947.981273,3817.409496,3849.216409,3943.409337,5244856836,68849856732
Bitcoin,BTC,03-01-2019 23:59,3935.685131,3826.222871,3931.048638,3836.741319,4530215219,66994920903
Bitcoin,BTC,04-01-2019 23:59,3865.934532,3783.853665,3832.039968,3857.717619,4847965467,67368333500
Bitcoin,BTC,05-01-2019 23:59,3904.903096,3836.900126,3851.973965,3845.19446,5137609824,67157570935
Bitcoin,BTC,06-01-2019 23:59,4093.297444,3826.513062,3836.519158,4076.632685,5597027440,71206795853
Bitcoin,BTC,07-01-2019 23:59,4092.613437,4020.893951,4078.585055,4025.248287,5228625637,70316305580
Bitcoin,BTC,08-01-2019 23:59,4109.021065,3996.955256,4028.472072,4030.847999,5306593305,70422743854
Bitcoin,BTC,09-01-2019 23:59,4068.403581,4022.662809,4031.552016,4035.296369,5115905225,70508733459
Bitcoin,BTC,10-01-2019 23:59,4064.066551,3659.174539,4034.411445,3678.924681,6874143796,64288932886
Bitcoin,BTC,11-01-2019 23:59,3713.881847,3653.069805,3674.015431,3687.365482,5538712865,64443301117
Bitcoin,BTC,12-01-2019 23:59,3698.978349,3653.810857,3686.973097,3661.30099,4778170883,63994140882
Bitcoin,BTC,13-01-2019 23:59,3674.759987,3544.927228,3658.868117,3552.953068,4681302466,62106461671
Bitcoin,BTC,14-01-2019 23:59,3727.836291,3552.285152,3557.311132,3706.05222,5651384490,64789619995
Bitcoin,BTC,15-01-2019 23:59,3720.153415,3619.949127,3704.216308,3630.675225,5537192302,63477817959
Bitcoin,BTC,16-01-2019 23:59,3685.77706,3624.673388,3631.509871,3655.006886,5394457145,63909348776
Bitcoin,BTC,17-01-2019 23:59,3680.136011,3621.960992,3651.870986,3678.563976,5464420383,64327048255
Bitcoin,BTC,18-01-2019 23:59,3682.520002,3637.080865,3677.990584,3657.839435,5002961727,63970991867
Bitcoin,BTC,19-01-2019 23:59,3758.533523,3652.377835,3652.377835,3728.568365,5955691380,65214103659
Bitcoin,BTC,20-01-2019 23:59,3743.387971,3583.019486,3725.446125,3601.013592,5582489560,62990143284
Bitcoin,BTC,21-01-2019 23:59,3608.840849,3558.537148,3600.372739,3576.032439,5004347059,62559869612
Bitcoin,BTC,22-01-2019 23:59,3620.746551,3539.721324,3575.08124,3604.577052,5313623556,63065139424
Bitcoin,BTC,23-01-2019 23:59,3623.067752,3565.314033,3605.557022,3585.123066,5433755649,62731361272
Bitcoin,BTC,24-01-2019 23:59,3616.087414,3569.092847,3584.500301,3600.865501,5262869046,63014066012
Bitcoin,BTC,25-01-2019 23:59,3612.927662,3575.597333,3607.390384,3599.765888,5265847539,63000985908
Bitcoin,BTC,26-01-2019 23:59,3654.933193,3593.345837,3599.715363,3602.460439,5098183235,63054898963
Bitcoin,BTC,27-01-2019 23:59,3612.671428,3567.245758,3604.687267,3583.965763,5570752966,62737274093
Bitcoin,BTC,28-01-2019 23:59,3586.750878,3439.233009,3584.283279,3470.450542,6908930483,60756570314
Bitcoin,BTC,29-01-2019 23:59,3476.065364,3400.819726,3468.870155,3448.117022,5897159493,60371874099
Bitcoin,BTC,30-01-2019 23:59,3495.174888,3429.387948,3443.897062,3486.181751,5955112627,61044262622
Bitcoin,BTC,31-01-2019 23:59,3504.804885,3447.915815,3485.40929,3457.792747,5831198271,60553903927
Bitcoin,BTC,01-02-2019 23:59,3501.954135,3431.591492,3460.547124,3487.945387,5422926707,61088747491
Bitcoin,BTC,02-02-2019 23:59,3523.287332,3467.574683,3484.62588,3521.060787,5071623601,61675119055
Bitcoin,BTC,03-02-2019 23:59,3521.38822,3447.924314,3516.139568,3464.013326,5043937584,60681847608
Bitcoin,BTC,04-02-2019 23:59,3476.223778,3442.58692,3467.211666,3459.154146,5332718886,60603083461
Bitcoin,BTC,05-02-2019 23:59,3478.148116,3451.936952,3454.950814,3466.357439,5227549545,60735563490
Bitcoin,BTC,06-02-2019 23:59,3469.091701,3398.565382,3469.091701,3413.767718,5482196038,59821158612
Bitcoin,BTC,07-02-2019 23:59,3427.94561,3394.218608,3414.929539,3399.471644,5004962683,59578075991
Bitcoin,BTC,08-02-2019 23:59,3695.613975,3391.023752,3401.376433,3666.780351,7735623101,64270269953
Bitcoin,BTC,09-02-2019 23:59,3679.94151,3646.559335,3671.585957,3671.203705,6158833645,64354732475
Bitcoin,BTC,10-02-2019 23:59,3695.036013,3640.979955,3673.201537,3690.188244,6282256903,64694025951
Bitcoin,BTC,11-02-2019 23:59,3695.613039,3642.287733,3695.613039,3648.430628,6277056434,63968390250
Bitcoin,BTC,12-02-2019 23:59,3668.586833,3618.556925,3642.751859,3653.528645,6480384532,64063755250
Bitcoin,BTC,13-02-2019 23:59,3669.746511,3617.246429,3653.603991,3632.070603,6438903823,63694394519
Bitcoin,BTC,14-02-2019 23:59,3646.256597,3607.6978,3631.170193,3616.88097,6271044418,63434486052
Bitcoin,BTC,15-02-2019 23:59,3647.795064,3608.206433,3617.368367,3620.810753,6091952231,63509111125
Bitcoin,BTC,16-02-2019 23:59,3652.841267,3615.270267,3615.270267,3629.787491,5934744052,63673369195
Bitcoin,BTC,17-02-2019 23:59,3680.537288,3619.18213,3633.35948,3673.836293,7039512503,64453368779
Bitcoin,BTC,18-02-2019 23:59,3936.665001,3669.982324,3671.369989,3915.714473,9908216640,68704389994
Bitcoin,BTC,19-02-2019 23:59,4010.879422,3908.152968,3911.661521,3947.094407,9933626655,69262673238
Bitcoin,BTC,20-02-2019 23:59,4000.486295,3926.246925,3946.684985,3999.820509,8693373948,70194350042
Bitcoin,BTC,21-02-2019 23:59,4010.009483,3940.108187,4000.256787,3954.118243,7775128102,69398333876
Bitcoin,BTC,22-02-2019 23:59,4006.538387,3950.816427,3952.406374,4005.526604,7826525254,70308555857
Bitcoin,BTC,23-02-2019 23:59,4166.286161,3968.726698,3998.916273,4142.52693,8922258316,72720867208
Bitcoin,BTC,24-02-2019 23:59,4210.641755,3793.709005,4145.457862,3810.427431,10794227451,66897483404
Bitcoin,BTC,25-02-2019 23:59,3913.707265,3807.002446,3807.002446,3882.696293,9318796067,68173204651
Bitcoin,BTC,26-02-2019 23:59,3891.578962,3837.986438,3878.697318,3854.357936,7931218996,67683296223
Bitcoin,BTC,27-02-2019 23:59,3888.802588,3787.058777,3857.479782,3851.04748,8301309684,67631949500
Bitcoin,BTC,28-02-2019 23:59,3906.058428,3845.821381,3848.262026,3854.785282,8399767798,67704774107
Bitcoin,BTC,01-03-2019 23:59,3907.795486,3851.69235,3853.757132,3859.583752,7661247975,67796965743
